,Id,Age Category,Sex,Rank,Time,Year
38290,2775,"[40, 45)",M,1848,16949,2016
38291,2776,"[45, 50)",F,1732,16624,2016
38292,2777,"[55, 60)",F,2566,19539,2016
38293,2778,"[50, 55)",M,695,13885,2016
38294,2779,"[20, 25)",M,2514,19322,2016
38295,2780,"[35, 40)",F,2666,20008,2016
38296,2781,"[40, 45)",M,398,13007,2016
38297,2782,"[30, 35)",M,2421,18960,2016
38298,2783,"[45, 50)",F,417,13096,2016
38301,2786,"[60, 65)",M,667,13787,2016
38303,2788,"[35, 40)",M,731,13984,2016
38304,2789,"[60, 65)",M,2968,23307,2016
38305,2790,"[45, 50)",M,2612,19742,2016
38306,2791,"[50, 55)",M,377,12938,2016
38307,2792,"[40, 45)",F,2328,18504,2016
38308,2793,"[25, 30)",M,2111,17698,2016
38309,2794,"[55, 60)",M,1068,14802,2016
38310,2795,"[30, 35)",M,1246,15248,2016
38313,2798,"[30, 35)",M,1642,16374,2016
38315,2800,"[30, 35)",F,1604,16265,2016
38316,2801,"[40, 45)",F,976,14502,2016
38317,2802,"[40, 45)",F,2471,19125,2016
38318,2803,"[20, 25)",M,460,13213,2016
38319,2804,"[35, 40)",M,1671,16448,2016
38320,2805,"[45, 50)",M,1465,15938,2016
38321,2806,"[30, 35)",F,1464,15938,2016
38322,2807,"[40, 45)",M,1053,14747,2016
38323,2808,"[40, 45)",M,499,13325,2016
38325,2810,"[30, 35)",M,290,12596,2016
38326,2811,"[45, 50)",M,168,12013,2016
38328,2813,"[40, 45)",F,1696,16517,2016
38329,2814,"[35, 40)",F,2680,20152,2016
38330,2815,"[25, 30)",M,2623,19797,2016
38331,2816,"[45, 50)",M,1924,17126,2016
38332,2817,"[35, 40)",F,2685,20205,2016
38333,2818,"[55, 60)",F,2836,21467,2016
38334,2819,"[40, 45)",M,2491,19212,2016
38336,2821,"[25, 30)",M,958,14452,2016
38338,2823,"[25, 30)",F,2022,17407,2016
38339,2824,"[35, 40)",F,1873,17009,2016
38340,2825,"[65, 70)",M,2180,17918,2016
38341,2826,"[45, 50)",M,1141,14958,2016
38342,2827,"[30, 35)",M,420,13099,2016
38344,2829,"[35, 40)",M,1838,16913,2016
38345,2830,"[25, 30)",F,2076,17556,2016
38346,2831,"[40, 45)",M,909,14346,2016
38347,2832,"[20, 25)",M,3012,24662,2016
38348,2833,"[45, 50)",F,2880,21913,2016
38350,2835,"[40, 45)",F,1512,16031,2016
38351,2836,"[35, 40)",M,465,13232,2016
38352,2837,"[35, 40)",M,45,10928,2016
38353,2838,"[35, 40)",M,1983,17311,2016
38354,2839,"[35, 40)",M,2480,19181,2016
38355,2840,"[50, 55)",M,875,14282,2016
38356,2841,"[30, 35)",M,604,13626,2016
38358,2843,"[35, 40)",M,153,11960,2016
38359,2844,"[45, 50)",F,2605,19705,2016
38360,2845,"[30, 35)",M,241,12420,2016
38361,2846,"[40, 45)",M,220,12340,2016
38362,2847,"[35, 40)",M,38,10907,2016
38364,2849,"[45, 50)",F,2703,20317,2016
38365,2850,"[50, 55)",M,160,11981,2016
38367,2852,"[40, 45)",M,161,11981,2016
38368,2853,"[35, 40)",F,2657,19944,2016
38369,2854,"[45, 50)",M,66,11147,2016
38370,2855,"[45, 50)",M,1611,16281,2016
38371,2856,"[30, 35)",M,158,11972,2016
38372,2857,"[25, 30)",M,222,12349,2016
38373,2858,"[40, 45)",M,94,11490,2016
38375,2860,"[55, 60)",M,2375,18737,2016
38377,2862,"[35, 40)",F,1391,15717,2016
38378,2863,"[50, 55)",M,2047,17491,2016
38379,2864,"[40, 45)",F,1198,15127,2016
38380,2865,"[25, 30)",F,2599,19686,2016
38381,2866,"[40, 45)",M,1241,15240,2016
38382,2867,"[20, 25)",F,1064,14788,2016
38383,2868,"[25, 30)",F,538,13454,2016
38384,2869,"[65, 70)",F,2335,18538,2016
38385,2870,"[20, 25)",M,1743,16645,2016
38386,2871,"[30, 35)",M,2998,24255,2016
38388,2873,"[45, 50)",M,2444,19034,2016
38389,2874,"[45, 50)",M,1836,16904,2016
38390,2875,"[45, 50)",F,2834,21431,2016
38392,2877,"[40, 45)",M,2891,22024,2016
38393,2878,"[30, 35)",M,1733,16626,2016
38395,2880,"[25, 30)",F,2741,20627,2016
38396,2881,"[45, 50)",M,2077,17559,2016
38398,2883,"[20, 25)",M,991,14547,2016
38399,2884,"[60, 65)",M,432,13121,2016
38400,2885,"[55, 60)",M,2942,22824,2016
38401,2886,"[20, 25)",F,1599,16246,2016
38402,2887,"[60, 65)",M,1973,17276,2016
38403,2888,"[50, 55)",M,1261,15295,2016
38404,2889,"[40, 45)",F,2980,23573,2016
38405,2890,"[45, 50)",M,1195,15121,2016
38408,2893,"[35, 40)",M,1158,15023,2016
38409,2894,"[30, 35)",M,1089,14847,2016
38410,2895,"[55, 60)",F,1711,16565,2016
38411,2896,"[30, 35)",M,2839,21549,2016
38412,2897,"[25, 30)",M,1049,14721,2016
38415,2900,"[40, 45)",F,752,14019,2016
38416,2901,"[45, 50)",M,704,13912,2016
38419,2904,"[25, 30)",F,1280,15373,2016
38420,2905,"[40, 45)",M,863,14262,2016
38421,2906,"[35, 40)",M,755,14023,2016
38422,2907,"[35, 40)",M,203,12236,2016
38425,2910,"[45, 50)",M,2228,18091,2016
38426,2911,"[35, 40)",F,766,14049,2016
38429,2914,"[40, 45)",M,335,12748,2016
38430,2915,"[45, 50)",M,354,12830,2016
38432,2917,"[30, 35)",M,2522,19344,2016
38433,2918,"[30, 35)",F,2844,21625,2016
38434,2919,"[35, 40)",M,932,14385,2016
38435,2920,"[35, 40)",F,2852,21685,2016
38437,2922,"[35, 40)",F,1500,16010,2016
38438,2923,"[50, 55)",F,428,13113,2016
38440,2925,"[35, 40)",M,349,12807,2016
38441,2926,"[45, 50)",M,2014,17393,2016
38443,2928,"[40, 45)",M,200,12214,2016
38445,2930,"[45, 50)",M,1484,15970,2016
38446,2931,"[55, 60)",M,2896,22119,2016
38448,2933,"[25, 30)",M,1687,16482,2016
38449,2934,"[45, 50)",M,579,13553,2016
38450,2935,"[35, 40)",M,1681,16466,2016
38451,2936,"[35, 40)",F,1470,15949,2016
38452,2937,"[50, 55)",F,2946,23015,2016
38453,2938,"[35, 40)",F,229,12377,2016
38455,2940,"[30, 35)",M,606,13628,2016
38456,2941,"[35, 40)",M,3015,24739,2016
38457,2942,"[25, 30)",F,685,13854,2016
38458,2943,"[40, 45)",M,1758,16698,2016
38460,2945,"[45, 50)",M,1993,17337,2016
38461,2946,"[45, 50)",M,1223,15184,2016
38463,2948,"[30, 35)",F,1988,17320,2016
38465,2950,"[40, 45)",M,2651,19910,2016
38466,2951,"[50, 55)",M,2223,18080,2016
38467,2952,"[35, 40)",F,2121,17731,2016
38468,2953,"[50, 55)",F,1810,16826,2016
38469,2954,"[30, 35)",F,1458,15931,2016
38470,2955,"[30, 35)",F,1450,15901,2016
38471,2956,"[35, 40)",M,50,10998,2016
38472,2957,"[30, 35)",M,3014,24730,2016
38474,2959,"[35, 40)",M,2064,17526,2016
38475,2960,"[35, 40)",M,85,11384,2016
38478,2963,"[40, 45)",M,688,13868,2016
38481,2966,"[25, 30)",M,1285,15397,2016
38482,2967,"[45, 50)",M,984,14526,2016
38483,2968,"[40, 45)",M,1047,14715,2016
38484,2969,"[20, 25)",F,848,14229,2016
38485,2970,"[45, 50)",M,2066,17529,2016
38489,2974,"[40, 45)",M,2871,21807,2016
38491,2976,"[30, 35)",M,1408,15771,2016
38493,2978,"[55, 60)",F,2977,23549,2016
38496,2981,"[45, 50)",M,748,14017,2016
38497,2982,"[40, 45)",M,622,13663,2016
38498,2983,"[35, 40)",F,1050,14723,2016
38500,2985,"[25, 30)",M,753,14020,2016
38501,2986,"[55, 60)",M,1695,16515,2016
38502,2987,"[40, 45)",M,5,9737,2016
38503,2988,"[30, 35)",M,1835,16903,2016
38504,2989,"[45, 50)",M,277,12563,2016
38506,2991,"[35, 40)",M,1746,16656,2016
38508,2993,"[45, 50)",F,2442,19029,2016
38511,2996,"[40, 45)",M,1398,15743,2016
38512,2997,"[60, 65)",F,2873,21840,2016
38513,2998,"[45, 50)",F,2089,17610,2016
38514,2999,"[40, 45)",M,2404,18889,2016
38518,3003,"[40, 45)",M,1651,16395,2016
38519,3004,"[40, 45)",F,1288,15400,2016
38520,3005,"[25, 30)",M,1313,15464,2016
38522,3007,"[35, 40)",M,1536,16091,2016
38523,3008,"[35, 40)",M,502,13333,2016
38524,3009,"[40, 45)",F,1893,17051,2016
